Id,tot_area,gar_adj_area,yr_built,yr_remod,qual,MS Zoning_A (agr),MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RM,Func_Maj,Func_Min,Func_Mod,Func_Sev,SalePrice
109,2204.0,219.36332695069967,1976,2005,6,0,0,0,0,0,0,0,0,0,0,130500
544,3035.0,258.1559995061918,1996,1997,7,0,0,0,0,0,0,0,0,0,0,220000
153,2114.0,69.85020278261075,1953,2007,5,0,0,0,0,0,0,0,0,0,0,109000
318,1828.0,226.45271046202228,2006,2007,5,0,0,0,0,0,0,0,0,0,0,174000
255,2121.0,137.42885425521789,1900,1993,6,0,0,0,0,0,0,0,0,0,0,138500
138,3405.0,266.9305325842198,1966,2002,6,0,0,0,0,0,0,0,0,1,0,190000
2827,1619.0,163.28940614394358,2005,2006,6,0,0,0,0,0,1,0,0,0,0,140000
145,2376.0,245.2251086543611,1959,1959,5,0,0,0,0,0,0,0,0,0,0,142000
1942,1848.0,119.25644377518908,1952,1952,5,0,0,0,0,0,0,0,0,0,0,112500
1956,3120.0,232.7560353329529,1969,1969,5,0,0,0,0,0,0,0,0,0,0,135000
1044,1470.0,74.96119323011885,1971,1971,6,0,0,0,0,0,1,0,0,0,0,85400
2752,2416.0,291.8686792270362,2005,2005,7,0,0,0,0,0,0,0,0,0,0,183600
807,2016.0,266.00689752337473,1880,2007,5,0,0,0,0,0,0,0,0,1,0,131000
1177,2567.0,136.2930786002161,1999,2000,8,0,0,1,0,0,0,0,0,0,0,200000
1480,2712.0,281.7086935577406,2007,2007,7,0,0,0,0,0,0,0,0,0,0,193000
324,2860.0,288.17413898365595,2004,2005,5,0,0,0,0,0,0,0,0,0,0,173500
1311,1968.0,47.42034121066416,1916,1950,5,0,0,0,0,0,1,0,0,0,0,98000
770,2242.0,136.2930786002161,1963,1963,5,0,0,0,0,0,0,0,0,0,0,139000
2063,1945.0,243.8396560630935,1977,1977,6,0,0,0,0,0,0,0,0,0,0,143500
69,2303.0,283.5559636794307,2009,2009,7,0,0,1,0,0,0,0,0,0,0,215200
2062,1788.0,207.81788869013653,1968,1968,5,0,0,0,0,0,0,0,0,0,0,129000
351,3160.0,230.44694768084028,2000,2000,8,0,0,0,0,0,0,0,0,0,0,278000
2393,3462.0,265.5450799929522,2005,2006,8,0,0,0,0,0,0,0,0,0,0,344133
12,2355.0,193.96336277746076,1992,2007,6,0,0,0,0,0,0,0,0,0,0,185000
2339,2112.0,264.15962740168465,1955,1955,5,0,0,0,0,0,0,0,0,0,0,145000
624,2906.0,244.76329112393856,1961,1961,6,0,0,0,0,0,0,0,0,0,0,187500
86,1788.0,95.40515502015127,1965,2009,5,0,0,0,0,0,0,0,0,0,0,138500
1534,2880.0,68.14653930010805,1937,1995,5,0,0,0,0,0,0,0,1,0,0,198000
2243,2948.0,0.0,1895,2006,5,0,1,0,0,0,0,0,0,0,0,119600
1957,1596.0,163.55169432025932,1949,2006,5,0,0,0,0,0,0,0,0,0,0,122900
380,5048.0,250.30510148900888,1981,1981,8,0,0,0,0,0,0,0,0,0,0,278000
2860,2309.0,113.57756550018007,1929,1950,8,0,0,0,0,0,0,0,0,0,0,230000
2517,2988.0,222.1342321332348,1995,1996,8,0,0,0,0,0,0,0,0,0,0,270000
1933,1896.0,116.41700463768458,1952,1952,6,0,0,0,0,0,0,0,0,0,0,125000
820,3423.0,381.4612801290061,2007,2008,8,0,0,0,0,0,0,0,0,0,0,297000
675,1302.0,119.43453706528445,1958,1958,6,0,0,0,0,0,0,0,0,0,0,113500
2910,2232.0,155.1706902219686,1977,1977,5,0,0,0,0,0,1,0,0,0,0,127000
21,3688.0,252.152371610699,1977,1977,6,0,0,0,0,0,0,0,0,0,0,190000
1873,2484.0,243.8396560630935,1973,1973,7,0,0,0,0,0,0,0,0,0,0,175500
2125,1980.0,109.03446288017287,1994,1994,5,0,0,0,0,0,0,0,0,0,0,146000
1489,2512.0,127.46163839661706,1965,1965,5,0,0,0,0,0,0,0,0,0,0,147500
2383,4152.0,392.54490085914676,2006,2006,10,0,0,0,0,0,0,0,0,0,0,465000
983,2207.0,278.0141533143604,1978,1978,5,0,0,0,0,0,0,0,0,0,0,165500
1325,2845.0,95.14944699869488,1954,1954,5,0,0,0,0,0,1,0,0,0,0,131500
1378,2080.0,109.03446288017287,1965,1965,5,0,0,0,0,0,0,0,0,0,0,129500
1537,2481.0,72.65572746897082,1935,1950,8,0,0,0,0,0,0,0,0,0,0,257076
905,2588.0,187.40298307529713,1941,1960,5,0,0,0,0,0,0,0,1,0,0,117000
1532,2278.0,124.69073321408192,1931,2000,7,0,0,0,0,0,0,0,0,0,0,149000
132,2119.0,129.30890851830716,1954,1954,5,0,0,0,0,0,0,0,0,0,0,128000
1078,2390.0,268.3464618974964,2003,2004,7,0,0,0,0,0,0,0,0,0,0,155000
2511,2280.0,124.93532205019808,2000,2000,6,0,0,1,0,0,0,0,0,0,0,166000
912,3103.0,163.55169432025932,1928,1950,4,0,0,0,0,0,0,0,1,0,0,135000
2351,4176.0,260.4650871583044,1978,1978,7,0,0,0,0,0,0,0,0,0,0,250000
330,1638.0,0.0,1970,1970,4,0,0,0,0,0,1,0,0,0,0,76000
2586,1791.0,184.72701216901024,1951,1951,6,0,0,0,0,0,0,0,0,0,0,155000
224,2015.0,138.08344159633515,1969,1969,6,0,0,0,0,0,0,0,0,0,0,158000
98,1800.0,136.2930786002161,2004,2005,7,0,0,1,0,0,0,0,0,0,0,149500
2565,1872.0,110.83620730140615,1954,1975,5,0,0,0,0,0,0,0,0,0,0,121000
1934,2080.0,135.3125364138,1953,1953,6,0,0,0,0,0,0,0,0,0,0,136000
997,2552.0,178.26156674309487,1996,1996,6,0,0,0,0,0,0,0,0,0,0,173000
64,3422.0,309.8795629135147,1999,2007,8,0,0,0,0,0,0,0,0,0,0,290000
1799,3794.0,311.37247688528066,2007,2007,8,0,0,1,0,0,0,0,0,0,0,303477
230,2903.0,318.65409599154265,1977,2001,7,0,0,0,0,0,0,0,0,0,0,270000
1295,2676.0,20.798395267835158,1920,1950,5,0,0,0,0,0,1,0,0,0,0,122250
638,2764.0,161.63613564788395,1955,1955,5,0,0,0,0,0,0,0,0,0,0,153000
2278,2240.0,0.0,2007,2007,5,0,0,0,0,0,0,0,0,0,0,147000
2202,1629.0,61.33188537009724,1930,1995,7,0,0,0,0,0,0,0,0,0,0,148500
2833,2684.0,107.89868722517107,2004,2004,7,0,0,0,0,0,1,1,0,0,0,130000
1707,3604.0,389.31217814618907,2006,2006,9,0,0,0,0,0,0,0,0,0,0,372000
2428,2868.0,203.19971338591125,2005,2005,7,0,0,0,0,0,0,0,0,0,0,213490
242,3016.0,264.15962740168465,2009,2010,7,0,0,0,0,0,0,0,0,0,0,308030
1564,3872.0,362.98857891210514,1996,1997,7,0,0,0,0,0,0,0,0,0,0,300000
2613,1849.0,305.145027347575,1959,1959,6,0,0,0,0,0,0,0,0,0,0,159500
2832,2679.0,107.89868722517107,2004,2004,7,0,0,0,0,0,1,1,0,0,0,137500
2459,3232.0,385.15582037238636,2005,2005,7,0,0,0,0,0,0,0,0,0,0,232000
1360,1536.0,124.93532205019808,1930,1950,6,0,0,0,0,0,1,0,0,0,0,93850
2723,1744.0,29.76481456107965,1924,1950,5,0,0,0,0,0,0,0,0,1,0,105000
1350,1040.0,22.1849549523575,1927,1950,4,0,0,0,0,0,1,0,0,0,0,68500
136,3379.0,136.2930786002161,1960,1960,5,0,0,0,0,0,0,0,0,0,0,154300
2235,2537.0,0.0,1925,2003,5,0,0,0,0,0,1,0,0,0,0,129850
1993,1848.0,44.369909904715,1910,1950,5,0,0,0,0,0,1,0,0,0,0,114000
367,4450.0,538.4792404726649,2008,2009,9,0,0,0,0,0,0,0,0,0,0,501837
1309,2292.0,204.43961790032415,1915,1950,5,0,0,0,0,0,1,0,0,0,0,153900
402,1728.0,163.55169432025932,1971,2006,4,0,0,0,0,0,0,0,0,0,0,130000
1592,2378.0,181.03247192563003,1997,1997,6,0,0,0,0,0,1,0,0,0,0,160500
2409,3332.0,265.5450799929522,2006,2006,9,0,0,0,0,0,0,0,0,0,0,310090
539,2376.0,256.3087293845017,2003,2003,7,0,0,0,0,0,0,0,0,0,0,184900
1940,1856.0,116.37801766647645,1956,2000,5,0,0,0,0,0,0,0,0,0,0,132000
588,2624.0,231.83240027210786,1969,1969,5,0,0,0,0,0,0,0,0,0,0,163000
96,1800.0,136.2930786002161,2004,2004,7,0,0,1,0,0,0,0,0,0,0,155000
1187,2854.0,238.29784569802322,1969,1969,6,0,0,0,0,0,0,0,0,0,0,183000
2154,2852.0,280.78505849689554,1996,2002,7,0,0,0,0,0,0,0,1,0,0,211000
550,2294.0,228.59967755915017,1994,1994,7,0,0,0,0,0,0,0,0,0,0,184000
811,1535.0,184.72701216901024,1979,1979,5,0,0,0,0,0,0,0,0,0,0,118858
124,2304.0,223.51968472450238,1964,1964,5,0,0,0,0,0,0,0,0,0,0,180500
1836,2292.0,223.51968472450238,2006,2007,8,0,0,1,0,0,0,0,0,0,0,166000
779,2276.0,221.6724146028123,1960,1960,6,0,0,0,0,0,0,0,0,0,0,148000
1886,1968.0,112.44178984517828,1956,1956,5,0,0,0,0,0,0,0,1,0,0,124000
1724,3122.0,256.77054691492424,2005,2005,9,0,0,0,0,0,0,0,0,0,0,277500
2450,4068.0,334.81770955633107,1995,1995,8,0,0,0,0,0,0,0,0,0,0,350000
